dialect,bandwidth_mean,bandwidth_std,centroid_mean,centroid_std,contrast_0_mean,contrast_1_mean,contrast_2_mean,contrast_3_mean,contrast_4_mean,contrast_5_mean,contrast_6_mean,delta_mfcc_0_mean,delta_mfcc_0_std,delta_mfcc_10_mean,delta_mfcc_10_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta_mfcc_9_mean,delta_mfcc_9_std,mfcc_0_mean,mfcc_0_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,pause_ratio,peak_count,peak_density,peak_freq_spread,peak_strength_mean,peak_strength_std,peak_time_spread,pitch_mean,pitch_range,pitch_std,rms_mean,rms_std,rolloff_mean,rolloff_std,tempo,zcr_mean,zcr_std
EGY,1361.2658629198927,337.25106754405374,1575.5720522554288,628.9542099555119,22.15062155123114,18.367034700878502,21.158515807768026,20.419587378140218,21.94220802920617,23.44116712241705,31.124446809784082,-0.3331543832001494,15.74985365052918,-0.002600871846889321,2.175540304663193,-0.011889756215068195,2.0595652347234026,-0.0008934778207415748,2.000404809587565,-0.022965827410111682,7.464050452912872,0.04101236907039282,6.774034418053364,0.0046981795814608485,5.08720083332541,0.03649020822333808,3.911121506187784,-0.012802053990846397,3.276400266879767,0.016732312181096373,3.0544985137393126,0.02400413052633831,2.827020795051776,0.024610569317715148,2.5861023963995313,-0.004544505403983613,2.4651375472845145,-224.81431592708856,93.10695413369031,-12.8044783970313,11.979555463072044,-3.724985873944421,11.164267846687356,-10.20838240449827,11.082113016789881,99.35679007295388,39.52292472034244,-21.958129306141306,36.06937455651748,14.97972202158753,27.773576254820703,-19.514456044938697,21.58257543381734,-8.09928229634636,17.789074673724535,-22.49402556467296,16.785279089481985,-5.7719342431156475,15.307120196184322,-16.082310151159014,14.34360972361349,-2.426190167777802,13.214817575473882,0.026635193744377877,100.0,16.830376925755633,0.07932146769559141,0.9048105527093663,0.03312063859682317,0.28074573650782253,1285.213857526156,3752.9208781946845,897.8271092553833,0.11384946967114752,0.06594802193746116,2913.087453189888,1121.600141841737,120.69405046664811,0.12880966194598445,0.07288332145208956
GLF,1309.6827220162836,382.9268288954705,1495.5294020721658,650.4546846066377,22.762601016559117,18.98509734345588,21.70536447958756,20.90686818001471,22.13433833035453,25.51963771363174,29.52806163160593,-0.3624712813627691,16.351779809364906,0.015968603515387092,2.3506334653267493,0.009561132921449968,2.244845972611354,0.005730912895710505,2.1742101388099866,-0.02339516246171955,8.240585349767636,0.07844270197242739,7.688929421473772,0.004250017125732251,6.003307442787366,0.048652440228630814,4.451170991934263,0.00342677817381441,3.8331348455869234,0.013299006614919886,3.4959361103864817,0.00455901242780666,3.1715137564218963,0.015209364239443598,2.903133787558629,0.003411357830433796,2.645211662695958,-272.1272366450383,93.18413452735314,-12.020402884521545,12.735450248229197,-3.3602339685297546,12.005676492055256,-9.222724290173023,11.783108422695062,106.74357629433656,43.8553126848661,-24.053244527906944,39.744522026257634,16.49551646289153,31.642026351048397,-19.756777836879095,23.412020485217756,-13.716214505583048,20.47736443739671,-19.680186364689888,18.83983260668241,-11.653956478700424,17.031229191560012,-15.211022005631374,15.617917897151067,-2.7261515175780424,14.095075370103885,0.03616028578203397,100.0,14.728247359453123,0.07523637584900933,0.9113611840300071,0.030103041024328238,0.28278819653841125,1256.7427513709436,3768.6299591846955,901.1855470315004,0.08263756767369039,0.046997409901366735,2790.8244733507495,1201.851989986026,119.31719619585684,0.1217567654005392,0.07420449719484033
LEV,1352.6592755148877,363.923893912375,1492.8652227632108,614.5095058676129,21.67181138095943,18.3735605610868,21.23227790327127,20.76009649551288,21.721775341379765,24.73606800594183,29.88683089542099,-0.2608007923526785,14.694053977575058,0.02029951879100199,2.1999051304963917,-0.0006040948698706093,2.061639074331675,0.008436210474293398,2.0036084269865966,0.014876381530820463,7.269763070497757,0.038918276208763314,6.804590417177249,-0.02711678457689674,5.471965113664285,0.01863521331568988,4.005970886426094,-0.005724755359085229,3.432676442158528,0.024771393443015998,3.161272930793273,0.002402331153429354,2.7669971407988134,0.011588328367155877,2.581091093405699,0.0008457772949977641,2.358450483358823,-258.379864854079,87.68010419209799,-13.60212323543353,12.159633008027688,-3.769515558384741,11.324238772270007,-8.548072792202808,10.98439838947394,106.2329449849251,38.54674677482018,-19.073559594326294,36.23820251562657,14.041252298853719,29.509154229286388,-23.931230306816406,22.119333193852352,-10.019397961644408,18.592732052925307,-22.24715520496934,17.38963133738591,-9.64108696853121,15.062720270645924,-14.457778900212203,14.126494691310786,-1.920124708235455,12.83419092863034,0.02723336265546755,100.0,14.528272720175341,0.07188275734542518,0.9056758476113662,0.032128036074011275,0.28110594856141113,1180.1662063989884,3797.5714918870194,863.5415794176934,0.08865073907117427,0.050487853967560746,2796.1026451226735,1202.6865597718336,121.55453056610666,0.1189412229197524,0.0680640732353153
MAG,1491.4244859885277,377.71579095675105,1632.0640775567872,761.5306471212931,22.865699723674023,17.627611989551518,20.690626354183653,18.930790966271108,20.279267233430375,22.585050324878736,34.30343299948363,-0.2678727396209092,16.268094413663135,0.018055365888407608,2.3221604258925828,0.003373108687738739,2.1913111262851293,0.009501432404256233,2.130189765824212,-0.056259148138579566,9.185757880152007,-0.000163288902272876,6.874749964254874,-0.0007528096576505833,5.981826136435991,0.014510855396252327,3.9609302826869635,0.003579888762446276,3.504163244035509,0.024907718326344527,3.3068859612500225,0.00918373917660641,2.9284181786172185,0.015016423750030634,2.6981886015997993,0.00032970657739946237,2.596243550159313,-256.0470391921055,91.69713238374686,-14.008922805609526,12.698772245571938,-1.007103863478075,11.811644463480254,-11.649955779969416,11.635987350087108,93.11956133901337,47.366796295731156,-8.507101675702465,35.64466094028803,28.841216947708602,31.91641555833228,-10.859169942563698,21.33707329549907,-1.391649596820827,18.752594057718913,-18.931001746507338,17.920630525659632,-6.368119350328674,15.72945972489722,-16.786805869043334,14.773097212520646,-0.9532406120986482,13.809334478260558,0.02146039572118493,100.0,12.730905206254912,0.05590854271853401,0.9249635825510378,0.026572899464483934,0.28120749610554124,1390.793101897063,3771.81175522039,989.3983803831501,0.07572638053033083,0.03823270572717354,3085.6473818788977,1370.3253771853608,122.00954181120954,0.12869875728626726,0.08692292573190272
